slug,import_decision,business_name,location_name,address,city,state,zip,neighborhood,latitude,longitude,hours,hours_note,quest_title,quest_description,quest_category,difficulty,xp_reward,points_reward,estimated_time,quest_objective,funky_action,hero_image_url,website_url,google_reviews_url,instagram_url,contact_email,business_status,verification_status,verification_sources,last_verified_date,notes
joia-beach-watson-island,import,Joia Beach,Joia Beach Restaurant and Beach Club,1111 Parrot Jungle Trail,Miami,FL,33132,Watson Island,25.7861775,-80.1746936,,,Island Detour,"Watson Island hides in plain sight between Downtown and South Beach — and Joia Beach is its shoreline reward. Cross the water, slow down, and catch the skyline from the sand side.",outdoors,medium,150,75,10–20 min,Find your way onto Watson Island and capture the Miami skyline from Joia Beach.,Shoes off for the photo. Mandatory? No. Correct? Absolutely.,,https://joiabeachmiami.com/,https://www.google.com/search?q=Joia+Beach+Miami+reviews,https://www.instagram.com/joiabeach/,info@joiabeachmiami.com,active,verified,"Official site joiabeachmiami.com + Yelp listing (1111 Parrot Jungle Trl), checked 2026-07-07.",2026-07-07,"Decision maker: Marketing Lead; Contact: info@joiabeachmiami.com. No evidence of closure found; official site and Yelp/Tripadvisor listings show current operating hours. Neighborhood normalized to 'Watson Island' (input said 'Watson Island / Downtown' — Watson Island is a City of Miami-owned island, not technically Downtown, so kept as Watson Island)."
sexy-fish-brickell,import,Sexy Fish Miami,Sexy Fish Miami,1001 S Miami Ave,Miami,FL,33130,Brickell,25.7643527,-80.1930513,,,Something's Fishy,"With a name like Sexy Fish, subtlety was never the plan. This Brickell dining room goes all-in on glamour — come see how deep the theme swims.",food,medium,150,75,10–15 min,Step into Sexy Fish on S Miami Ave and photograph the most extravagant detail you can find. There are contenders.,Name your photo like a perfume ad and share the title with your table.,,https://sexyfishmiami.com/,https://www.google.com/search?q=Sexy+Fish+Miami+reviews,https://www.instagram.com/sexyfishmiami/,info@sexyfishmiami.com,active,verified,"Official site sexyfishmiami.com + Yelp + OpenTable, checked 2026-07-07.",2026-07-07,"Decision maker: Operations Manager; Contact: info@sexyfishmiami.com. Confirmed via official site, Yelp, OpenTable, Resy all consistent on address and open status."
the-bass-south-beach,import,The Bass,The Bass,2100 Collins Ave,Miami Beach,FL,33139,South Beach,25.7973966,-80.1299536,,,Bass Notes,Miami Beach's contemporary art museum holds down Collins Park a couple of blocks from the sand. Ocean Drive gets the postcards; The Bass gets the ideas.,art,medium,150,75,15–20 min,"Explore The Bass and photograph two things: one artwork, and one detail of the building itself.",Give your favorite piece a one-word title and drop it in your Community Note.,,https://thebass.org/,https://www.google.com/search?q=The+Bass+Museum+Miami+Beach+reviews,https://www.instagram.com/thebassmoa/,info@thebass.org,active,verified,"Yelp, thebass.org, and Wikipedia infobox coordinates (via search snippet), checked 2026-07-07.",2026-07-07,"Decision maker: Membership Director; Contact: info@thebass.org. City corrected from generic 'Miami' to 'Miami Beach' (municipality is Miami Beach, not the City of Miami). Located in Collins Park."
ball-and-chain-little-havana,import,Ball & Chain,Ball & Chain,1513 SW 8th St,Miami,FL,33135,Little Havana,25.7658068,-80.2197761,,,Calle Ocho After Dark,"On Calle Ocho, in the heart of Little Havana, Ball & Chain is where the neighborhood turns the volume up. Some bars you visit; this one you feel.",nightlife,medium,150,75,15–20 min,Find Ball & Chain on SW 8th Street and capture the moment that feels most alive.,Let your shoulders do a little salsa on the way in. Resistance is futile.,,https://ballandchainmiami.com/,https://www.google.com/search?q=Ball+and+Chain+Miami+reviews,https://www.instagram.com/ballandchainmia/,info@ballandchainmiami.com,active,verified,"Official site ballandchainmiami.com + Yelp + Apple Maps, checked 2026-07-07.",2026-07-07,Decision maker: Proprietor; Contact: info@ballandchainmiami.com. Neighborhood normalized to 'Little Havana' (input said 'Little Havana / Edge' — 'Edge' not a recognized standard Miami neighborhood name for this address). Coordinates from Apple Maps listing snippet.
rubell-museum-allapattah,import,Rubell Museum,Rubell Museum,1100 NW 23rd St,Miami,FL,33127,Allapattah,25.7987088,-80.214203,,,The Collectors' Warehouse,One family's contemporary art collection grew until it needed its own museum in Allapattah — right across the street from Superblue. Wander it like the world's most serious garage sale.,art,medium,150,75,15–20 min,Explore the Rubell and find the artwork you'd smuggle home if no one were watching. Photograph it legally instead.,Estimate its price out loud. Then add three zeros.,,https://rubellmuseum.org/,https://www.google.com/search?q=Rubell+Museum+Miami+reviews,https://www.instagram.com/rubellmuseum/,info@rubellmuseum.org,active,verified,"Official site rubellmuseum.org + Yelp + Apple Maps, checked 2026-07-07.",2026-07-07,Decision maker: Curator; Contact: info@rubellmuseum.org. Neighborhood normalized to 'Allapattah' (input said 'Allapattah / Edge'). Coordinates from Apple Maps listing snippet matching official address.
brickell-city-centre,import,Brickell City Centre,Brickell City Centre,701 S Miami Ave,Miami,FL,33131,Brickell,25.7676777,-80.1930011,,,The Vertical City,"A shopping city stacked into the middle of Brickell, and still growing — its busiest month on record was as recent as April 2025. The stores are the excuse; the architecture is the reason.",shopping,easy,50,25,10–15 min,Explore Brickell City Centre's levels and photograph the view where the architecture steals the show from the shops.,Window-shop one store wildly outside your budget with complete confidence.,,https://brickellcitycentre.com/,https://www.google.com/search?q=Brickell+City+Centre+Miami+reviews,https://www.instagram.com/brickellcitycentre/,info@brickellcitycentre.com,active,verified,"Simon.com official mall page, Yelp listing, Miami New Times/retail trade press (Chain Store Age, RLI), checked 2026-07-07",2026-07-07,"Decision maker: Marketing Director; Contact: info@brickellcitycentre.com. Mall is a Simon Property Group asset (operated with Swire); active and expanding retail (Aritzia, Alo Yoga, Dior Beauty opened 2025-2026), April 2025 was highest footfall month on record. Note: the planned 'One Brickell City Centre' supertall office tower was cancelled/listed for sale in 2025 - this affects a future expansion parcel, not the existing operating mall. No reliable primary-source coordinates found (Wikipedia/official site fetch blocked in this session); address confirmed via multiple listings (Yelp, Simon.com)."
bayside-marketplace,import,Bayside Marketplace,Bayside Marketplace,401 Biscayne Blvd,Miami,FL,33132,Downtown Miami,25.7784792,-80.1867682,,,Where Downtown Meets the Bay,"Downtown's waterfront marketplace, where the shopping ends at the edge of Biscayne Bay. Skip the mall part first — go straight to the water and work backwards.",shopping,easy,50,25,10–15 min,"Find the spot where Bayside meets the bay and capture the water, boats and skyline in one frame.","Wave at a passing boat. If they wave back, it counts double.",,https://baysidemarketplace.com/,https://www.google.com/search?q=Bayside+Marketplace+Miami+reviews,https://www.instagram.com/baysidemarketplace/,info@baysidemarketplace.com,active,verified,"Official site baysidemarketplace.com, Yelp, Local10 News (Hard Rock Cafe closure story, June 2026), Apple Maps coordinate data, checked 2026-07-07",2026-07-07,"Decision maker: General Manager; Contact: info@baysidemarketplace.com. Waterfront shopping/entertainment marketplace, managed by Ashkenazy Acquisition Corp / GGP (Brookfield). Active as of July 2026. Note: long-time tenant Hard Rock Cafe (opened 1993) announced it will permanently close Aug 19, 2026 due to lease expiration - this is a tenant closure, not a closure of Bayside Marketplace itself."
1800-lucky-wynwood,import,1-800-Lucky,1-800-Lucky,143 NW 23rd St,Miami,FL,33127,Wynwood,25.7993233,-80.1979686,,,Six Ways Lucky,"Miami's first Asian food hall: 10,000 square feet in Wynwood holding six kitchens under one roof. One address, six chances your night improves.",food,medium,150,75,10–15 min,Walk the full hall and find all six food concepts. Photograph the counter or dish you'd try first.,Spin once on your heel and let fate point you to a counter.,,https://1800lucky.com/,https://www.google.com/search?q=1-800-Lucky+Wynwood+Miami+reviews,https://www.instagram.com/1800lucky/,info@1-800-lucky.com,active,verified,"1800lucky.com official site, Yelp (updated July 2026), Wynwood BID business directory, checked 2026-07-07",2026-07-07,"Decision maker: Partner / Operator; Contact: info@1-800-lucky.com. Miami's first Asian food hall, 10,000 sq ft, 6 restaurant concepts. Active as of July 2026 (Yelp reviews updated July 2026, celebrated 8-year anniversary). No evidence of closure found."
lummus-park-south-beach,import,Lummus Park,Lummus Park,Ocean Dr (between 5th St and 15th St),Miami Beach,FL,33139,South Beach,25.7806133,-80.1298933,,,Postcard Row,"Seventy-four acres of oceanfront park running along Ocean Drive through the Art Deco Historic District. Palms on one side, pastel architecture on the other — the most photographed stretch of Miami Beach, waiting for your version.",outdoors,easy,50,25,10–15 min,Walk the stretch where Lummus Park's palms meet the Art Deco skyline and capture the most Miami photo possible.,Add a flamingo pose. One leg. You know the one.,,https://www.miamibeachfl.gov/city-hall/parks-and-recreation/parks-facilities-directory/lummus-park/,https://www.google.com/search?q=Lummus+Park+Miami+Beach+reviews,https://www.instagram.com/cityofmiamibeach/,parks@miamibeachfl.gov,active,verified,"City of Miami Beach official parks directory (miamibeachfl.gov), Wikipedia summary via search, checked 2026-07-07",2026-07-07,"Decision maker: City Parks Liaison; Contact: parks@miamibeachfl.gov. Public 74-acre oceanfront park in the Art Deco Historic District, managed by City of Miami Beach Parks & Recreation - no single commercial operator, as expected for this tier. Note: there is also a separate, smaller 'Lummus Park' near Downtown Miami (Lummus Park Historic District) - do not confuse the two; this record is for the Miami Beach oceanfront park matching the input's 'South Beach' neighborhood and miamibeachfl.gov website. No reliable primary-source coordinates found in this session."
miami-design-district,import,Miami Design District,Miami Design District,140 NE 39th St,Miami,FL,33137,Design District,25.8123753,-80.1924115,,,The Palm Court Puzzle,"A whole neighborhood curated like a gallery — luxury storefronts, public art and architecture competing politely for your attention. Somewhere in the middle hides Palm Court, the district's gathering spot.",shopping,medium,150,75,15–20 min,Explore the district's public spaces until you find Palm Court. Photograph the storefront or installation that stopped you along the way.,Pick the display window that best matches your personality. Defend your choice.,,https://www.miamidesigndistrict.com/,https://www.google.com/search?q=Miami+Design+District+reviews,https://www.instagram.com/miamidesigndistrict/,info@miamidesigndistrict.net,active,verified,"miamidesigndistrict.com official site, Apple Maps place link (embedded coordinate), Yelp, Wikipedia summary via search, checked 2026-07-07",2026-07-07,"Decision maker: DACRA Marketing Head; Contact: info@miamidesigndistrict.net. This is a neighborhood/shopping district (luxury retail, galleries, restaurants) developed/managed largely by DACRA and partners, not a single 'plaza' business - public gathering spaces (e.g. Palm Court) exist within it. Input domain 'miamidesigndistrict.net' also resolves to the same organization; the more consistently live site found was miamidesigndistrict.com. Coordinates from an Apple Maps place link with an embedded coordinate parameter."
miami-worldcenter,import,Miami Worldcenter,Miami Worldcenter,851 NE 1st Ave,Miami,FL,33132,Park West / Downtown Miami,25.782431,-80.191854,,,City Under Construction,"Ten blocks of Park West being rebuilt into a brand-new district — towers, promenades and street-level retail rising in real time. Walk it now and you'll be able to say you saw it happen.",shopping,easy,50,25,10–15 min,Walk Miami Worldcenter's new blocks and photograph old Miami and new Miami in a single frame.,Record a five-second voice memo predicting what this block looks like in ten years.,,https://miamiworldcenter.com/,https://www.google.com/search?q=Miami+Worldcenter+reviews,https://www.instagram.com/miamiworldcenter/,info@miamiworldcenter.com,active,verified,"miamiworldcenter.com official site (Visit/Directions page), Wikipedia summary via search, Apple Maps place link (embedded coordinate), checked 2026-07-07",2026-07-07,"Decision maker: Development VP; Contact: info@miamiworldcenter.com. Large ten-block mixed-use development (residential towers, hotel, convention center, retail/lifestyle component) in the Park West area just north of Downtown Miami - a public/mixed-use district under active construction and leasing, not a single business. Coordinates taken from an Apple Maps place link for a component building (Paramount Miami Worldcenter) at the same 851 NE 1st Ave address given by the official site."
miracle-mile-coral-gables,import,Miracle Mile,Miracle Mile,Coral Way between SW 37th Ave and SW 42nd Ave,Coral Gables,FL,33134,Coral Gables,25.749713,-80.255427,,,The Half-Mile Miracle,Coral Gables' signature stretch of Coral Way — half a mile of storefronts with a very confident name. Walk it end to end and issue your own verdict.,shopping,easy,50,25,15–20 min,Walk Miracle Mile from one end to the other and photograph your favorite storefront along the way.,Deliver your verdict in a Community Note: does it earn the name 'Miracle'?,,https://www.coralgables.com/attractions/miracle-mile,https://www.google.com/maps/search/?api=1&query=Miracle+Mile+Coral+Gables+FL,https://www.instagram.com/cityofcoralgables/,info@coralgableschamber.org,active,verified,"City of Coral Gables official site + Wikipedia + Yelp/Google Maps listings, checked 2026-07-07",2026-07-07,"Public commercial/shopping street (0.5-mile stretch of Coral Way), not a single business - no single operator. Decision maker: Coral Gables BID Lead; contact: info@coralgableschamber.org."
kaseya-center-plaza,import,Kaseya Center (AT&T East Plaza),Kaseya Center,601 Biscayne Blvd,Miami,FL,33132,Downtown Miami,25.7813595,-80.1879435,,,Home Court,"The 23,000-square-foot East Plaza outside Kaseya Center is Downtown's pre-game front porch — and on quiet days, a bayfront shortcut with an arena-sized backdrop. Game night or ghost town, the Heat's house is worth the walk.",culture,easy,50,25,5–10 min,Find the East Plaza at Kaseya Center and capture the arena where the Heat play — game day or not.,Practice your championship-parade wave across the plaza.,,https://www.kaseyacenter.com/,https://www.google.com/maps/search/?api=1&query=Kaseya+Center+601+Biscayne+Blvd+Miami+FL,https://www.instagram.com/kaseyacenter/,info@kaseyacenter.com,active,verified,"kaseyacenter.com official site + Yelp/Vendry listings, checked 2026-07-07",2026-07-07,"""Kaseya Center Plaza"" refers to the AT&T East Plaza, a 23,000 sq ft outdoor gathering space at Kaseya Center (Miami Heat arena, formerly FTX Arena/American Airlines Arena). Not an independent business - part of the arena complex. Decision maker: Event Ops Lead; contact: info@kaseyacenter.com."
jungle-island,import,Jungle Island,Jungle Island,1111 Parrot Jungle Trail,Miami,FL,33132,Watson Island,25.786155,-80.174993,,Open daily,The Wild Side of Watson Island,"An eco-adventure park on Watson Island, minutes from Downtown and open daily. Skyscrapers on one horizon, jungle canopy on the other — Miami's weirdest, wildest border crossing.",outdoors,medium,150,75,15–20 min,Explore Jungle Island and photograph the most tropical resident you meet.,Imitate the call of the loudest bird you hear. Commit fully.,,https://www.jungleisland.com/,https://www.google.com/maps/search/?api=1&query=Jungle+Island+1111+Parrot+Jungle+Trail+Miami+FL,https://www.instagram.com/jungleisland/,info@jungleisland.com,active,verified,"Official site (jungleisland.com) + Wikipedia + Bisnow/Miami Times redevelopment coverage, checked 2026-07-07",2026-07-07,"Eco-adventure/zoo park on Watson Island, open daily as of July 2026. Note: city of Miami has approved a major redevelopment (condo towers by Terra Group/ESJ Capital Partners) for part of the site; park is expected to continue operating on a reduced footprint during/after redevelopment, but no closure date confirmed. Decision maker: Operations VP; contact: info@jungleisland.com."
giralda-plaza,import,Giralda Plaza,Giralda Plaza,100 block of Giralda Ave,Coral Gables,FL,33134,Coral Gables,25.7514867,-80.2570634,,,The Pedestrian's Feast,Coral Gables closed this block of Giralda Avenue to cars in 2017 and handed it to dinner tables. It's downtown's open-air dining room — walk it slow.,food,easy,50,25,5–10 min,Stroll pedestrian-only Giralda Plaza end to end and photograph the table you'd claim on a Friday night.,Rate the plaza's people-watching out of ten. Out loud.,,https://www.coralgables.com/attractions/giralda-plaza,https://www.google.com/maps/search/?api=1&query=Giralda+Plaza+Coral+Gables+FL,https://www.instagram.com/giraldaplaza/,info@giraldaplaza.com,active,verified,"coralgables.com official page + Instagram + Yelp/LoopNet listings, checked 2026-07-07",2026-07-07,"Pedestrian dining/restaurant walkway in downtown Coral Gables, reopened 2017. Input Instagram handle '@giralda.plaza' appears to be incorrect/inactive; verified official handle is '@giraldaplaza'. Public space with a merchant association, not a single business. Decision maker: Merchant Assoc. Head; contact: info@giraldaplaza.com."
jungle-plaza-design-district,import,Jungle Plaza,Jungle Plaza,3801 NE 1st Ave,Miami,FL,33137,Design District,25.811964,-80.193276,,,Through the Portal,"A 33,000-square-foot open plaza in the Design District, home to Criola's 'Interdimensional Portal' mural. As advertised: it's a portal. Interdimensionally speaking.",art,easy,50,25,5–10 min,Find Criola's 'Interdimensional Portal' mural at Jungle Plaza and step through it — photographically speaking.,Pose like you're mid-teleport. Hair matters here.,,https://www.miamidesigndistrict.com/event-venue/742/jungle-plaza/,https://www.google.com/maps/search/?api=1&query=Jungle+Plaza+3801+NE+1st+Ave+Miami+FL,https://www.instagram.com/miamidesigndistrict/,events@miamidesigndistrict.net,active,verified,"miamidesigndistrict.com venue page + Bill Hansen/PartySlate venue listings, checked 2026-07-07",2026-07-07,"33,000 sq ft outdoor event space within Miami Design District (features the 'Interdimensional Portal' mural by Criola); managed by Design District/DACRA, not an independent business - uses the Design District's shared Instagram account. Input website normalized from miamidesigndistrict.net to the current miamidesigndistrict.com. Decision maker: DACRA Events Coordinator; contact: events@miamidesigndistrict.net."
citizens-miamicentral,import,Citizens MiamiCentral,Citizens MiamiCentral,600 NW 1st Ave,Miami,FL,33136,Downtown Miami,25.79118,-80.1966257,,,Eat Like a Commuter,"A food hall built into Brightline's MiamiCentral station, where intercity trains and lunch counters share a roof. The rare place where 'grabbing a bite before the train' is the destination.",food,easy,50,25,10–15 min,"Find the food hall inside MiamiCentral station and photograph the scene — trains, counters and all.",Time your photo to a Brightline arrival if you can. Patience is a virtue.,,https://www.gobrightline.com/,https://www.google.com/maps/search/?api=1&query=Citizens+MiamiCentral+600+NW+1st+Ave+Miami+FL,https://www.instagram.com/citizens_miamicentral/,info@gobrightline.com,active,verified,"gobrightline.com press releases, Miami New Times, Yelp listing (Aug 2025), checked 2026-07-07",2026-07-07,"Food hall inside Brightline's MiamiCentral station. Had a period of closure/rebranding (was 'Central Fare', briefly dark, relaunched as 'Central Fare Food Collective' June 2025, then rebranded again to Citizens MiamiCentral under C3/Sam Nazarian partnership). Active as of mid-2026 per Yelp reviews and Brightline press releases. Input website 'brightlinestations.com' does not appear to be the correct live domain; using gobrightline.com / miamicentral.com instead. Decision maker: Transit Hub Director; contact: info@gobrightline.com."
maurice-ferre-park,import,Maurice A. Ferré Park,Maurice A. Ferré Park,1075 Biscayne Blvd,Miami,FL,33132,Downtown Miami / Arts & Entertainment District,25.7839,-80.1869,,,The Museum's Front Yard,"Thirty acres of downtown waterfront green, renamed in 2019 for Miami's former mayor — with PAMM and the Frost Science Museum living inside it. Culture on one side, Biscayne Bay on the other, grass in between.",outdoors,easy,50,25,10–15 min,Walk the park's waterfront and frame one photo with the bay on one side and the museums on the other.,Find the best patch of grass and claim it for exactly one minute of doing absolutely nothing.,,https://www.miami.gov/Parks-Public-Places/Parks-Directory/Maurice-A.-Ferre-Park,https://www.google.com/maps/search/?api=1&query=Maurice+A.+Ferre+Park+1075+Biscayne+Blvd+Miami+FL,https://www.instagram.com/miamiparks/,parks@miamigov.com,active,verified,"miami.gov park directory + Wikipedia (Museum Park (Miami)) + bayfrontparkmiami.com, checked 2026-07-07",2026-07-07,"30-acre downtown waterfront park, formerly named 'Museum Park', renamed Maurice A. Ferré Park in 2019 in honor of the former Miami mayor. Home to Perez Art Museum Miami and Frost Science Museum. Public space, City of Miami Parks Dept operated. Decision maker: City Park Management; contact: parks@miamigov.com."
espanola-way,import,Española Way,Española Way,419 Española Way,Miami Beach,FL,33139,South Beach,25.7870053,-80.1320681,,,The Spanish Detour,"A historic Mediterranean-style pedestrian street tucked between Washington and Drexel, freshly restored and permanently unhurried. Two blocks of South Beach that decided to be Spain instead.",culture,easy,50,25,5–10 min,Wander Española Way and photograph the detail that feels imported straight from the Mediterranean.,Bid the street 'buenas noches' when you leave — time of day irrelevant.,,https://www.experiencemiamibeach.com/local-attractions/espanola-way,https://www.google.com/maps/search/?api=1&query=Espanola+Way+Miami+Beach+FL,https://www.instagram.com/espanolaway/,info@visitespanolaway.com,active,verified,"Yelp, Miami Design Preservation League, experiencemiamibeach.com, checked 2026-07-07",2026-07-07,"Historic pedestrian-oriented Mediterranean-style street/plaza in South Beach between Washington Ave and Drexel Ave, recently completed a $2.5M revitalization. Public space with a historic district board, not a single business; input website 'visitespanolaway.com' could not be independently confirmed as live - using City/tourism board page instead. Decision maker: Historic District Board; contact: info@visitespanolaway.com."
regatta-harbour-coconut-grove,import,Regatta Harbour,Regatta Harbour,3385 Pan American Dr,Miami,FL,33133,Coconut Grove,25.7284643,-80.2339205,,,Dinner Key Discovery,"Coconut Grove's waterfront hub on historic Dinner Key — marina, dining and bay breeze run by people who clearly understand what the Grove is for. Come watch the masts sway.",outdoors,medium,150,75,10–15 min,Explore Regatta Harbour and photograph the spot where the Grove meets the water — boats required in frame.,Pick the boat you'd captain and christen it out loud with a brand-new name.,,https://www.regattaharbour.com/,https://www.google.com/maps/search/?api=1&query=Regatta+Harbour+3385+Pan+American+Dr+Miami+FL,https://www.instagram.com/regattaharbour/,info@regattaharbour.com,active,verified,"regattaharbour.com official site + Yelp (Regatta Grove) + Time Out coverage, checked 2026-07-07",2026-07-07,"Waterfront retail/dining/marina destination on historic Dinner Key in Coconut Grove, operated by Breakwater Hospitality Group; includes Regatta Grove dining hub and Regatta Marina. Active and operating as of July 2026 per current posted hours. Decision maker: Project Leasing Mgr; contact: info@regattaharbour.com."
government-center-station,import,Government Center Station,Government Center Station,101 NW 1st St,Miami,FL,33128,Downtown Miami,25.7757584,-80.1960776,,,The Crossroads,"Since 1984 this has been Miami's great transit crossroads — Metrorail, Metromover and Metrobus all converging in one Downtown hub. Most people pass through; this time, stop and look.",culture,easy,50,25,5–10 min,Find where the trains come and go at Government Center and capture one in motion.,"Guess where a departing train is headed, then check the board and grade yourself.",,https://www.miamidade.gov/transportation-publicworks/metrorail-stations.asp,https://www.google.com/maps/search/?api=1&query=Government+Center+Station+101+NW+1st+St+Miami+FL,https://www.instagram.com/miamidadetransit/,transit@miamidade.gov,active,verified,"Wikipedia (Government Center station (Miami)) + miamidade.gov + Yelp listing, checked 2026-07-07",2026-07-07,"Intermodal Miami-Dade Transit hub (Metrorail + Metromover + Metrobus) in the Government Center district, opened 1984. Public transit facility, not a commercial venue. Decision maker: MDT Operations; contact: transit@miamidade.gov."
tea-room-east-miami,import,Tea Room,"Tea Room at EAST, Miami",788 Brickell Plaza,Miami,FL,33131,Brickell,25.7666577,-80.1927661,,Open Thu–Sat,"High Tea, Literally","Forty floors above Brickell, open only Thursday through Saturday, hides an Asian-inspired cocktail lounge called the Tea Room. Part speakeasy, part skybox — all timing.",nightlife,medium,150,75,10–20 min,"On a Thursday, Friday or Saturday, ride up EAST Miami and find the Tea Room on the 40th floor. Capture your proof.","Toast with pinkies out. It is a tea room, after all.",,https://www.easthotels.com/en/miami/restaurants-and-bars/tea-room/,https://www.google.com/search?q=Tea+Room+EAST+Miami+788+Brickell+Plaza+reviews,https://www.instagram.com/tearoom.mia/,tearoom@easthotels.com,active,verified,"EAST Hotels official site (easthotels.com) + Yelp/Tripadvisor listings, checked 2026-07-07",2026-07-07,Decision maker: Nightlife Director. Contact: tearoom@easthotels.com. Input Instagram handle @tearoomeast could not be verified/found; the active official Instagram handle is @tearoom.mia. 40th-floor Asian-inspired cocktail lounge/speakeasy atop EAST Miami hotel; open Thu-Sat per current hotel site.
the-kampong-coconut-grove,import,The Kampong,The Kampong (National Tropical Botanical Garden),4013 S Douglas Rd,Miami,FL,33133,Coconut Grove,25.7152781,-80.2503978,,,The Secret Garden of the Grove,A historic Coconut Grove estate that became one of only five gardens in the National Tropical Botanical Garden network. Most of its cousins are in Hawaii; this one hides behind Douglas Road.,outdoors,medium,150,75,15–20 min,Explore The Kampong's grounds and photograph the tree or plant that looks most like it escaped from a storybook.,Learn one plant's name before you leave and formally introduce it to your group.,,https://ntbg.org/gardens/kampong/,https://www.google.com/search?q=The+Kampong+4013+S+Douglas+Rd+Coconut+Grove+reviews,https://www.instagram.com/thekampong/,kampong@ntbg.org,active,verified,"ntbg.org official site + Wikipedia + Apple Maps listing, checked 2026-07-07",2026-07-07,Decision maker: Garden Director. Contact: kampong@ntbg.org. One of five gardens of the National Tropical Botanical Garden; historic Fairchild/Sweeney estate. Coconut Grove is a neighborhood within the City of Miami (not a separate municipality).
miami-supercar-rooms,manual_review,Miami Supercar Rooms,Miami Supercar Rooms,2022 NW 1st Ct,Miami,FL,33127,Wynwood,25.7960064,-80.1979564,,,,,,,,,,,,,https://www.supercarrooms.com/,https://www.google.com/search?q=Miami+Supercar+Rooms+2022+NW+1st+Ct+reviews,https://www.instagram.com/supercarrooms/,info@supercarrooms.miami,active,verified,"supercarrooms.com official site + Yelp (updated July 2026) + press coverage, checked 2026-07-07",2026-07-07,"Workbook describes it as 'members-only' — conflicts with the quest rule that a first-time visitor must be able to complete a quest. Needs a partner conversation about public access before content is written. | Decision maker: Founder (Elo). Contact: info@supercarrooms.miami (unverified). Input website 'supercarrooms.miami' does not appear to be the primary domain; official site found is supercarrooms.com. World's first members-only Road Art Gallery / automotive event & dining space in Wynwood, founded 2015 by British automotive collector 'Elo'. Yelp listing updated July 2026 confirms it is operating."
dale-zine-design-district,import,Dale Zine,Dale Zine Shop,50 NE 40th St,Miami,FL,33137,Design District,25.8132334,-80.1944904,,,"Small Press, Big Energy","Miami's independent zine shop moved from Little River to the Design District in 2024, carrying its universe of small-press treasures with it. Every shelf is somebody's whole heart, photocopied.",art,easy,50,25,10–15 min,Find Dale Zine's Design District home and browse until you find a zine you've never heard of. Photograph the cover.,Greet the shop with a proper Miami 'dale!' on your way in.,,https://dalezine.com/,https://www.google.com/search?q=Dale+Zine+50+NE+40th+St+Miami+reviews,https://www.instagram.com/dale_zine/,hello@dalezine.com,active,verified,"Miami New Times (move coverage), Yelp, Miami Design District official listing, checked 2026-07-07",2026-07-07,Decision maker: Founder. Contact: hello@dalezine.com (unverified; press lists dalezine305@gmail.com as contact). IMPORTANT: Dale Zine relocated from its former Little River location (7395 NW Miami Pl) to the Miami Design District (50 NE 40th St) around January 2024. Input neighborhood 'Little River / Edge' is OUTDATED — current neighborhood is Design District.
naomis-garden-little-haiti,import,Naomi's Garden Restaurant & Lounge,Naomi's Garden Restaurant & Lounge,650 NW 71st St,Miami,FL,33150,Little Haiti,25.8395301,-80.2079248,,,The Garden of Little Haiti,A Little Haiti original with 'garden' right there in the name — the kind of neighborhood restaurant that grew a second location without losing its roots. Come find the original.,food,easy,50,25,10–15 min,Find Naomi's Garden on NW 71st Street and photograph whatever earns the 'garden' in the name.,Compliment the plants. Out loud. They've earned it.,,https://naomismiami.com/,https://www.google.com/search?q=Naomi%27s+Garden+650+NW+71st+St+Miami+reviews,https://www.instagram.com/naomismiami/,naomisgardencafe@gmail.com,active,verified,"naomismiami.com (via search snippets), Yelp, The Local Palate, checked 2026-07-07",2026-07-07,"Decision maker: Owner. Contact: naomisgardencafe@gmail.com (unverified). Input website 'naomisgarden.com' does not appear to resolve to this business; the verified official site is naomismiami.com. A second location later opened in Sunset Harbour, Miami Beach (1755 Alton Rd), but the original/primary location referenced here is Little Haiti."
broken-shaker-miami-beach,import,Broken Shaker,Broken Shaker at Freehand Miami,2727 Indian Creek Dr,Miami Beach,FL,33140,South Beach,25.8045422,-80.1263489,,,The Pop-Up That Stayed,It started as a pop-up in 2012 inside the Freehand Miami — then earned a James Beard semifinalist nod and simply never left. Some experiments succeed so hard they become institutions.,nightlife,medium,150,75,15–20 min,Find the Broken Shaker inside the Freehand and settle into the bar that refused to be temporary. Capture your spot.,Raise a toast to every pop-up that outlived its own concept.,,https://www.brokenshaker.com/location/miami-hours-and-location/,https://www.google.com/search?q=Broken+Shaker+2727+Indian+Creek+Dr+Miami+Beach+reviews,https://www.instagram.com/brokenshaker/,shaker.miami@freehandhotels.com,active,verified,"freehandhotels.com + brokenshaker.com official sites, Yelp, checked 2026-07-07",2026-07-07,"Decision maker: Bar GM. Contact: shaker.miami@freehandhotels.com. Original Miami location (started as 2012 pop-up) at Freehand Miami hotel; James Beard semifinalist. Note the address is on Indian Creek Dr near Mid-Beach, slightly north of the traditional 'South Beach/SoBe' core — sometimes categorized as 'Mid-Beach'."
